Args got
indir None
outdir /home/ec2-user/ThermoDrift/experiments/trainv5/
Data loaded
ESM1b loaded
Classifier, optimizer, and criterion compiled
Using device cuda:0
Moved tensors to cuda:0
Dataloaders built
Number of parameters classifier:  172419
outputs [[0.34014543890953064, 0.312096506357193, 0.34775808453559875]]  lables [2]
outputs [[0.3399029076099396, 0.30552783608436584, 0.3545692563056946]]  lables [1]
outputs [[0.3394237160682678, 0.31571632623672485, 0.3448599874973297]]  lables [2]
outputs [[0.3377537131309509, 0.3182842433452606, 0.34396207332611084]]  lables [2]
outputs [[0.3376710116863251, 0.3280906081199646, 0.3342384099960327]]  lables [2]
outputs [[0.33781078457832336, 0.325743168592453, 0.33644601702690125]]  lables [0]
outputs [[0.3450855314731598, 0.31982457637786865, 0.33508992195129395]]  lables [0]
outputs [[0.3393480181694031, 0.3150680363178253, 0.3455839455127716]]  lables [2]
outputs [[0.3390539288520813, 0.3129023015499115, 0.3480437994003296]]  lables [2]
outputs [[0.34072235226631165, 0.31471753120422363, 0.3445601463317871]]  lables [0]
outputs [[0.34299084544181824, 0.3240143060684204, 0.33299487829208374]]  lables [2]
outputs [[0.33171117305755615, 0.32437020540237427, 0.34391865134239197]]  lables [0]
outputs [[0.3399240970611572, 0.3135247230529785, 0.34655115008354187]]  lables [2]
outputs [[0.3423541188240051, 0.3184538781642914, 0.3391920030117035]]  lables [1]
outputs [[0.3499216139316559, 0.32161080837249756, 0.32846760749816895]]  lables [2]
outputs [[0.3407358229160309, 0.3194790482521057, 0.339785099029541]]  lables [1]
outputs [[0.34381869435310364, 0.3105906844139099, 0.34559062123298645]]  lables [0]
outputs [[0.33836209774017334, 0.31680890917778015, 0.3448289930820465]]  lables [2]
outputs [[0.3337647318840027, 0.3313538432121277, 0.334881454706192]]  lables [2]
outputs [[0.33654701709747314, 0.32061779499053955, 0.3428351581096649]]  lables [0]
outputs [[0.33917444944381714, 0.3176920711994171, 0.34313350915908813]]  lables [0]
outputs [[0.3363912105560303, 0.3171679675579071, 0.34644076228141785]]  lables [2]
outputs [[0.3400696814060211, 0.32543307542800903, 0.3344973027706146]]  lables [0]
outputs [[0.3372882008552551, 0.3227255046367645, 0.33998629450798035]]  lables [0]
outputs [[0.3357967138290405, 0.3091888725757599, 0.3550144135951996]]  lables [1]
outputs [[0.3352624773979187, 0.3046533167362213, 0.36008420586586]]  lables [1]
outputs [[0.33757704496383667, 0.3163922429084778, 0.34603071212768555]]  lables [2]
outputs [[0.3424595594406128, 0.32700133323669434, 0.33053913712501526]]  lables [2]
outputs [[0.3376820981502533, 0.31937623023986816, 0.34294167160987854]]  lables [1]
outputs [[0.3424004912376404, 0.31359434127807617, 0.34400516748428345]]  lables [2]
outputs [[0.3460357189178467, 0.3126719295978546, 0.3412923514842987]]  lables [1]
outputs [[0.35409748554229736, 0.3067709505558014, 0.33913153409957886]]  lables [0]
outputs [[0.35264140367507935, 0.3187805712223053, 0.32857802510261536]]  lables [0]
outputs [[0.342342734336853, 0.31796953082084656, 0.3396877646446228]]  lables [2]
outputs [[0.3451136648654938, 0.3177782893180847, 0.3371080458164215]]  lables [2]
outputs [[0.34801027178764343, 0.3228279948234558, 0.32916176319122314]]  lables [1]
outputs [[0.33886098861694336, 0.32659077644348145, 0.3345482051372528]]  lables [0]
outputs [[0.3518713712692261, 0.3182853162288666, 0.32984331250190735]]  lables [0]
outputs [[0.3418830335140228, 0.31602048873901367, 0.3420965373516083]]  lables [2]
outputs [[0.33868351578712463, 0.31460341811180115, 0.34671300649642944]]  lables [0]
outputs [[0.337964802980423, 0.3304736614227295, 0.3315615653991699]]  lables [1]
outputs [[0.3452059030532837, 0.3055453896522522, 0.3492487370967865]]  lables [0]
outputs [[0.3457302451133728, 0.3125515282154083, 0.3417181968688965]]  lables [1]
outputs [[0.33616966009140015, 0.3175126910209656, 0.3463176488876343]]  lables [1]
outputs [[0.33829137682914734, 0.3242530822753906, 0.3374555706977844]]  lables [0]
outputs [[0.3449190855026245, 0.30582791566848755, 0.3492530286312103]]  lables [2]
outputs [[0.332609087228775, 0.32568687200546265, 0.3417040705680847]]  lables [0]
outputs [[0.3392525911331177, 0.3145182728767395, 0.34622910618782043]]  lables [1]
outputs [[0.3457017242908478, 0.31396231055259705, 0.34033602476119995]]  lables [2]
outputs [[0.3419753611087799, 0.31046754121780396, 0.3475571572780609]]  lables [1]
outputs [[0.3450050354003906, 0.3073948919773102, 0.3476001024246216]]  lables [0]
outputs [[0.34246087074279785, 0.3135278820991516, 0.3440112769603729]]  lables [0]
outputs [[0.3359692096710205, 0.3166682720184326, 0.3473625183105469]]  lables [2]
outputs [[0.34282186627388, 0.31275561451911926, 0.3444225490093231]]  lables [1]
outputs [[0.3412700295448303, 0.32614561915397644, 0.33258429169654846]]  lables [0]
outputs [[0.34396249055862427, 0.3220980167388916, 0.33393946290016174]]  lables [2]
outputs [[0.3401927351951599, 0.3269311487674713, 0.3328761160373688]]  lables [0]
outputs [[0.35197925567626953, 0.3218848407268524, 0.32613593339920044]]  lables [2]
outputs [[0.3476642966270447, 0.3200276494026184, 0.3323080837726593]]  lables [2]
outputs [[0.34616437554359436, 0.31445538997650146, 0.3393802046775818]]  lables [0]
outputs [[0.3413291573524475, 0.3192168176174164, 0.3394540548324585]]  lables [1]
outputs [[0.33153054118156433, 0.3301844298839569, 0.338284969329834]]  lables [1]
outputs [[0.33511924743652344, 0.3357140123844147, 0.3291667401790619]]  lables [2]
outputs [[0.34031879901885986, 0.32725954055786133, 0.33242160081863403]]  lables [1]
outputs [[0.3433133661746979, 0.3225952088832855, 0.3340914249420166]]  lables [1]
outputs [[0.33941924571990967, 0.3288692235946655, 0.3317115902900696]]  lables [0]
outputs [[0.34484830498695374, 0.3216901421546936, 0.33346155285835266]]  lables [2]
outputs [[0.3404475748538971, 0.32677748799324036, 0.33277490735054016]]  lables [2]
outputs [[0.3426953852176666, 0.3158348500728607, 0.3414697051048279]]  lables [1]
outputs [[0.3309533894062042, 0.315524697303772, 0.3535219430923462]]  lables [1]
outputs [[0.34471604228019714, 0.3213886618614197, 0.33389532566070557]]  lables [2]
outputs [[0.34439411759376526, 0.30962684750556946, 0.34597909450531006]]  lables [0]
outputs [[0.33617886900901794, 0.3158886134624481, 0.34793251752853394]]  lables [1]
outputs [[0.3445970416069031, 0.3093368411064148, 0.3460661768913269]]  lables [2]
outputs [[0.33814480900764465, 0.3148804306983948, 0.3469747304916382]]  lables [2]
outputs [[0.33949705958366394, 0.3140482008457184, 0.34645479917526245]]  lables [2]
outputs [[0.34214404225349426, 0.316771537065506, 0.34108442068099976]]  lables [2]
outputs [[0.3358789086341858, 0.32147878408432007, 0.34264233708381653]]  lables [2]
outputs [[0.34406429529190063, 0.31841617822647095, 0.33751949667930603]]  lables [2]
outputs [[0.3484683632850647, 0.3088805377483368, 0.3426510691642761]]  lables [2]
outputs [[0.34117627143859863, 0.3095593750476837, 0.34926432371139526]]  lables [1]
outputs [[0.3476610481739044, 0.31071215867996216, 0.34162676334381104]]  lables [1]
outputs [[0.33696532249450684, 0.31569403409957886, 0.3473406434059143]]  lables [2]
outputs [[0.3457314968109131, 0.3194919526576996, 0.33477652072906494]]  lables [0]
outputs [[0.3385050892829895, 0.32299450039863586, 0.33850038051605225]]  lables [2]
outputs [[0.3352259695529938, 0.3201286494731903, 0.34464535117149353]]  lables [0]
outputs [[0.3417208790779114, 0.311673104763031, 0.3466060161590576]]  lables [0]
outputs [[0.34487658739089966, 0.3210334777832031, 0.33408990502357483]]  lables [0]
outputs [[0.3392041325569153, 0.33113083243370056, 0.32966503500938416]]  lables [0]
outputs [[0.3485552966594696, 0.31841161847114563, 0.33303308486938477]]  lables [1]
outputs [[0.3309429883956909, 0.31840571761131287, 0.3506512939929962]]  lables [2]
outputs [[0.34325486421585083, 0.3262348175048828, 0.33051037788391113]]  lables [2]
outputs [[0.34394702315330505, 0.3140659034252167, 0.34198710322380066]]  lables [1]
outputs [[0.3390369415283203, 0.31501007080078125, 0.3459530174732208]]  lables [2]
outputs [[0.3330387473106384, 0.31235089898109436, 0.3546103239059448]]  lables [0]
outputs [[0.33833837509155273, 0.31634244322776794, 0.3453191816806793]]  lables [0]
outputs [[0.3501995801925659, 0.3193664848804474, 0.3304339647293091]]  lables [0]
outputs [[0.3331994414329529, 0.32175931334495544, 0.34504127502441406]]  lables [0]
outputs [[0.34499508142471313, 0.3141482174396515, 0.3408567011356354]]  lables [1]
outputs [[0.3414568603038788, 0.31327688694000244, 0.34526628255844116]]  lables [0]
outputs [[0.34015920758247375, 0.3371067941188812, 0.3227340281009674]]  lables [2]
outputs [[0.33292150497436523, 0.3137880861759186, 0.35329046845436096]]  lables [0]
outputs [[0.3443946838378906, 0.3139406740665436, 0.3416646122932434]]  lables [2]
outputs [[0.34709930419921875, 0.31776750087738037, 0.33513322472572327]]  lables [0]
outputs [[0.3398110270500183, 0.32047271728515625, 0.33971625566482544]]  lables [0]
outputs [[0.3410300612449646, 0.3241867423057556, 0.3347831964492798]]  lables [0]
outputs [[0.34219062328338623, 0.32045623660087585, 0.3373531103134155]]  lables [1]
outputs [[0.34290996193885803, 0.3242880403995514, 0.3328019678592682]]  lables [1]
outputs [[0.331226110458374, 0.3266148269176483, 0.34215909242630005]]  lables [1]
outputs [[0.3398114740848541, 0.31354236602783203, 0.34664618968963623]]  lables [0]
outputs [[0.339663565158844, 0.31832876801490784, 0.34200769662857056]]  lables [0]
outputs [[0.3400181829929352, 0.31811293959617615, 0.34186890721321106]]  lables [1]
outputs [[0.3382388651371002, 0.31504058837890625, 0.34672051668167114]]  lables [1]
outputs [[0.3450357913970947, 0.3219321668148041, 0.3330320715904236]]  lables [1]
outputs [[0.34029608964920044, 0.3132323622703552, 0.34647154808044434]]  lables [0]
outputs [[0.33177924156188965, 0.31746578216552734, 0.350754976272583]]  lables [2]
outputs [[0.3456324636936188, 0.31306692957878113, 0.3413006067276001]]  lables [1]
outputs [[0.3457120954990387, 0.3200659453868866, 0.3342219591140747]]  lables [2]
outputs [[0.33176228404045105, 0.3169158399105072, 0.35132187604904175]]  lables [0]
outputs [[0.34112656116485596, 0.31054967641830444, 0.3483237624168396]]  lables [1]
outputs [[0.3359147906303406, 0.32996490597724915, 0.33412036299705505]]  lables [0]
outputs [[0.34115201234817505, 0.3162154257297516, 0.342632532119751]]  lables [2]
outputs [[0.33998197317123413, 0.3141191899776459, 0.3458988666534424]]  lables [1]
outputs [[0.3397243916988373, 0.3145805299282074, 0.34569501876831055]]  lables [2]
outputs [[0.33845412731170654, 0.31792572140693665, 0.3436201214790344]]  lables [2]
outputs [[0.34514594078063965, 0.3120340406894684, 0.34282007813453674]]  lables [0]
outputs [[0.34445223212242126, 0.30924856662750244, 0.3462991416454315]]  lables [0]
outputs [[0.3420809209346771, 0.32347962260246277, 0.3344394564628601]]  lables [2]
outputs [[0.33732157945632935, 0.32260072231292725, 0.3400776982307434]]  lables [2]
outputs [[0.3328225910663605, 0.3145350515842438, 0.35264238715171814]]  lables [2]
outputs [[0.3406670093536377, 0.32412654161453247, 0.33520644903182983]]  lables [1]
outputs [[0.3376164138317108, 0.31099945306777954, 0.35138416290283203]]  lables [2]
outputs [[0.33597439527511597, 0.31514623761177063, 0.348879337310791]]  lables [0]
outputs [[0.3432566821575165, 0.3229585289955139, 0.33378472924232483]]  lables [0]
outputs [[0.3371923565864563, 0.3202331066131592, 0.34257450699806213]]  lables [2]
outputs [[0.33758628368377686, 0.3327450156211853, 0.32966870069503784]]  lables [2]
outputs [[0.33996501564979553, 0.3254217803478241, 0.33461323380470276]]  lables [1]
outputs [[0.3426439166069031, 0.3159621059894562, 0.34139391779899597]]  lables [0]
outputs [[0.3343809247016907, 0.32478243112564087, 0.34083667397499084]]  lables [1]
outputs [[0.33832594752311707, 0.32537105679512024, 0.3363029956817627]]  lables [1]
outputs [[0.35371077060699463, 0.3209547698497772, 0.32533448934555054]]  lables [0]
outputs [[0.34153762459754944, 0.31996846199035645, 0.33849388360977173]]  lables [0]
outputs [[0.3341558873653412, 0.32467877864837646, 0.34116536378860474]]  lables [2]
outputs [[0.34198662638664246, 0.31169643998146057, 0.34631699323654175]]  lables [1]
outputs [[0.34223490953445435, 0.3247852921485901, 0.33297979831695557]]  lables [0]
outputs [[0.3522251546382904, 0.3150259852409363, 0.3327488899230957]]  lables [2]
outputs [[0.3397214412689209, 0.31737563014030457, 0.34290292859077454]]  lables [1]
outputs [[0.3318006694316864, 0.3040392994880676, 0.3641600012779236]]  lables [0]
outputs [[0.33924540877342224, 0.3220767080783844, 0.3386778235435486]]  lables [2]
outputs [[0.33430221676826477, 0.32563936710357666, 0.34005841612815857]]  lables [0]
outputs [[0.3411151170730591, 0.32951560616493225, 0.32936930656433105]]  lables [1]
outputs [[0.33878955245018005, 0.3164028823375702, 0.34480762481689453]]  lables [0]
outputs [[0.33975332975387573, 0.3191019594669342, 0.3411446511745453]]  lables [1]
outputs [[0.34816887974739075, 0.31983670592308044, 0.3319944739341736]]  lables [1]
outputs [[0.34330978989601135, 0.3134179711341858, 0.34327223896980286]]  lables [0]
outputs [[0.3454208970069885, 0.3211747705936432, 0.3334043323993683]]  lables [1]
outputs [[0.3407575488090515, 0.30646342039108276, 0.3527790606021881]]  lables [1]
outputs [[0.34790822863578796, 0.32247641682624817, 0.3296153247356415]]  lables [0]
outputs [[0.33700522780418396, 0.31146830320358276, 0.3515264689922333]]  lables [1]
outputs [[0.33723753690719604, 0.31590333580970764, 0.3468591272830963]]  lables [1]
outputs [[0.33601197600364685, 0.322674036026001, 0.3413139581680298]]  lables [2]
outputs [[0.344512403011322, 0.31274160742759705, 0.3427460193634033]]  lables [1]
outputs [[0.33731433749198914, 0.31723323464393616, 0.3454524278640747]]  lables [2]
outputs [[0.3377129137516022, 0.31123244762420654, 0.3510546386241913]]  lables [2]
outputs [[0.34581494331359863, 0.31374162435531616, 0.3404434323310852]]  lables [1]
outputs [[0.34125688672065735, 0.31370800733566284, 0.3450351059436798]]  lables [0]
outputs [[0.34540441632270813, 0.3159659802913666, 0.3386296331882477]]  lables [0]
outputs [[0.3359125256538391, 0.317986398935318, 0.34610113501548767]]  lables [1]
outputs [[0.33839595317840576, 0.31884053349494934, 0.3427634835243225]]  lables [0]
outputs [[0.3407677412033081, 0.3123599886894226, 0.3468722403049469]]  lables [1]
outputs [[0.33093273639678955, 0.3205330967903137, 0.3485342264175415]]  lables [2]
outputs [[0.34314417839050293, 0.3197751045227051, 0.3370806872844696]]  lables [0]
outputs [[0.3421453833580017, 0.33168622851371765, 0.326168417930603]]  lables [1]
outputs [[0.33875614404678345, 0.3068651258945465, 0.35437875986099243]]  lables [1]
outputs [[0.3296428620815277, 0.3178764879703522, 0.35248062014579773]]  lables [2]
outputs [[0.33608731627464294, 0.3180331289768219, 0.34587955474853516]]  lables [1]
outputs [[0.3404342532157898, 0.3125683069229126, 0.3469974398612976]]  lables [1]
outputs [[0.33647340536117554, 0.31394532322883606, 0.3495812714099884]]  lables [0]
outputs [[0.34265777468681335, 0.30353888869285583, 0.3538033068180084]]  lables [1]
outputs [[0.3356124460697174, 0.32590678334236145, 0.3384808301925659]]  lables [0]
outputs [[0.3399016261100769, 0.3158751428127289, 0.3442232310771942]]  lables [1]
outputs [[0.33605802059173584, 0.31368106603622437, 0.3502609431743622]]  lables [2]
outputs [[0.34499797224998474, 0.31757834553718567, 0.3374236524105072]]  lables [0]
outputs [[0.331283301115036, 0.32432320713996887, 0.3443934917449951]]  lables [0]
outputs [[0.3502267599105835, 0.3207167983055115, 0.32905644178390503]]  lables [2]
outputs [[0.33925995230674744, 0.3236725926399231, 0.3370674252510071]]  lables [0]
outputs [[0.3334605097770691, 0.31981098651885986, 0.3467285633087158]]  lables [2]
outputs [[0.34186026453971863, 0.31964004039764404, 0.33849966526031494]]  lables [1]
outputs [[0.351081520318985, 0.32925698161125183, 0.3196614980697632]]  lables [2]
outputs [[0.3440565764904022, 0.3079685866832733, 0.3479748070240021]]  lables [1]
outputs [[0.33374547958374023, 0.3147566020488739, 0.3514978885650635]]  lables [2]
outputs [[0.3308750092983246, 0.32318955659866333, 0.3459354341030121]]  lables [2]
outputs [[0.34945452213287354, 0.31842851638793945, 0.3321170508861542]]  lables [0]
outputs [[0.33862778544425964, 0.32178252935409546, 0.3395897448062897]]  lables [0]
outputs [[0.34003543853759766, 0.3199865520000458, 0.3399779796600342]]  lables [2]
outputs [[0.3436855971813202, 0.32229486107826233, 0.3340195119380951]]  lables [0]
outputs [[0.3429820239543915, 0.3201443552970886, 0.3368735611438751]]  lables [1]
outputs [[0.3449036180973053, 0.3244650959968567, 0.3306313157081604]]  lables [0]
outputs [[0.3404679000377655, 0.3162001073360443, 0.3433320224285126]]  lables [1]
outputs [[0.3471476435661316, 0.31420469284057617, 0.33864766359329224]]  lables [1]
outputs [[0.3363263010978699, 0.31900903582572937, 0.34466466307640076]]  lables [2]
outputs [[0.34201136231422424, 0.30273959040641785, 0.3552490472793579]]  lables [0]
outputs [[0.3356439471244812, 0.31623777747154236, 0.34811824560165405]]  lables [2]
outputs [[0.3387317359447479, 0.3141602575778961, 0.34710803627967834]]  lables [2]
